address,beds,baths,sqft,lotAreaValue,log_price,Bathroom Information_# of Full Baths,Bathroom Information_# of Bathroom Fixtures,Heating & Cooling_Heating Type,Fireplace Information_# of Fireplaces,Fireplace Information_Fireplace Type,Exterior Information_Physical Condition,Exterior Information_Foundation Type,Exterior Information_Construction Type,Exterior Information_Exterior Wall,Exterior Information_Building Type,Property Information_Subdivision Name,Property Information_Living Sq. Ft,Property Information_Building Sq. Ft,Property Information_# of Stories,Property Information_Stories Type,Property Information_Legal Description,Parking & Garage Information_Parking Type,Parking & Garage Information_Garage/Parking Sq. Ft,Parking & Garage Information_Garage / Carport Type,Lot Information_# of Buildings,Lot Information_Land Sq. Ft,Lot Information_Legal Lot Number,Lot Information_School Tax District,Lot Information_Municipality Name,Lot Information_Acres,Lot Information_State Use Description,Assessor Information_Assessment Year,Assessor Information_Tax District County,Basement Information_Basement Type,Heating & Cooling_Heating Fuel Type,Room Information_# of Rooms,Exterior Information_Building Style Type,Property Information_Ground Floor Sq. Ft,Lot Information_Legal Block Number,Lot Information_Depth Footage,Lot Information_Front Footage,Lot Information_County Use Description,Utility Information_Electricity / Wiring Type,Basement Information_Basement Sq. Ft,Bathroom Information_# of 1/2 Baths,Heating & Cooling_Air Conditioning Type,Utility Information_Sewer Type,Utility Information_Water Service Type,Basement Information_Basement Finish,Exterior Information_Building Improvement Type,Parking & Garage Information_# of Parking Spaces,Lot Information_Zoning Code,Exterior Information_Roof Covering Type,Exterior Information_Roof Shape Type,Pool Information_Pool Type
"11638 Symmes Creek Dr, Loveland, OH 45140",4.0,4.0,2681.0,0.537,13.172105469299144,3,,,1,,Average,Concrete Block,Brick,Frame/Masonry,,SYMMES CREEK SUB,"2,681","4,650",2,2,SYMMESCREEK DR 100 X 200 LOT 102 SYMMES CREEK SUB BL A,Attached Brick Garage,839,Attached Brick,1,"23,392",102,,SYMMES TOWNSHIP,0.537,SINGLE FAMILY,2022,,Full,Gas,9,Conventional,"1,551",A,200,100,RESID-SINGLE FAMILY,Connected,"1,130",1,Central,,,,,2,A,,,
"833 Miami Ridge Dr, Loveland, OH 45140",4.0,4.0,3002.0,0.459,13.349498949988076,2,10,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,MIAMI TRAILS H,"3,002","3,444",2,,MIAMI TRAILS H LOT 212,Frame Garage,520,Frame,1,"19,994",212,,MIAMI TWP,0.459,SINGLE FAMILY,2022,,Full,Gas,8,Colonial,"1,272",,,,,Available,442,1,Central,Public,Public,,,,,,,
"9160 Lawnview Ct, Loveland, OH 45140",4.0,4.0,2004.0,0.4589990817263544,13.507489714516963,,,,,,,,,,,BROOKWOOD SUB,,,,,,,,,,"14,527",16,,DEERFIELD TWP,0.3335,RES VAC LAND 0-9.99 AC,2022,,,,,,,,,,,,,,,,,,,,,,,
"118 Decatur Ln, Loveland, OH 45140",4.0,4.0,3502.0,0.2099862258953168,13.101956567626667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"737 Mohican Dr, Loveland, OH 45140",3.0,1.0,962.0,0.179,12.301382825334498,1,,,,,Average,Concrete Block,,Frame Siding,,STONEYBROOK SUB,962,"1,924",1,1,MOHICAN DR 60 X 130.09 IRR LOT 128 STONEYBROOK SUB BLK H,Garage/Carport,312,,1,"7,797",128,,LOVELAND CITY,0.179,SINGLE FAMILY,2022,,Full,Gas,5,Conventional,962,H,130.09,60,RESID-SINGLE FAMILY,Connected,962,,,,,,,1,,,,
"137 Lexington Dr, Loveland, OH 45140",5.0,4.0,4488.0,0.438,13.38472764187182,2,,,1,,Average,Concrete Block,Brick/Frame,Frame/Masonry,,CLAIBORNE SUB,"4,488","6,054",2,2  1/2,LEXINGTON DR 80.02 X 166.72 FT IRR LOT26 CLAIBORNE SUB PHASE 1,Attached Brick Garage,670,Attached Brick,1,"19,079",26,,LOVELAND CITY,0.438,SINGLE FAMILY,2022,,Full,Gas,10,Conventional,"1,646",,166.72,80.02,RESID-SINGLE FAMILY,Connected,"1,646",1,Central,,,,,3,,,,
"1009 Paxton Lake Dr, Loveland, OH 45140",4.0,4.0,4470.0,0.44,13.038981768465277,3,13,Central,2,Prefab,Average,,,Frame/Masonry,Residential,PAXTON LAKES SEC 03,"4,470","4,938",2,,PAXTON LAKE SECTION III LOT 106,Masonry/Brick Garage,600,Masonry/Brick,1,"19,166",106,,MIAMI TWP,0.44,SINGLE FAMILY,2022,,Full,,11,Colonial,"1,380",,,,,,"1,550",1,Central,Public,Public,Finished,,,,,,
"813 Marbea Dr, Loveland, OH 45140",3.0,1.0,1069.0,0.1599862258953168,12.314927050442256,1,,,,,Very Good,Concrete,Brick/Frame,Frame/Masonry,,STONEYBROOK SUB,"1,069","1,350",1,1,MARBEA DR 60 X 120 LOT 194 STONEYBROOK SUB BLK F,Attached Frame Garage,281,Attached Frame,1,"7,187",194,,LOVELAND CITY,0.165,SINGLE FAMILY,2022,,Finished,Gas,5,Conventional,"1,069",F,120,60,RESID-SINGLE FAMILY,Connected,,,,,,,,1,,,,
"313 Albright Dr, Loveland, OH 45140",3.0,1.0,1206.0,0.277,12.329395861562173,1,,,,,Good,Concrete,Brick,Brick,,C HUBER HERNERT,"1,206","1,437",1,1,ALBRIGHT DR 34.81 X 121.12 IR LOT 214 HERBERTC HUBER PLAT NO. 45 D,Attached Brick Garage,231,Attached Brick,1,"12,066",214,,LOVELAND CITY,0.277,SINGLE FAMILY,2022,,Finished,Gas,6,Conventional,"1,206",,121.12,34.81,RESID-SINGLE FAMILY,Connected,,,Central,,,,,1,,,,
"3975 Old Carriage Ct, Loveland, OH 45140",3.0,3.0,1643.0,0.3022,12.840000466430148,2,12,Forced Air,1,1 Opening,Very Good,Concrete,Frame,Aluminum/Vinyl,Single Family,VILLHERITAGE GRNA,"1,643","2,043",1.5,1  1/2,HERITAGE GREEN BLK A #52,Attached Garage,400,Attached,1,"13,164",52,LOVELAND CITY,DEERFIELD TWP,0.3022,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,A,,,,,,1,,,,Finished,,,,,,
"10489 Murdock Goshen Rd, Loveland, OH 45140",2.0,1.0,2004.0,2.0,12.6112043647371,1,5,Forced Air,1,1 Opening,Good,Concrete Block,Brick,Masonry,Single Family,HAMILTON,"1,107","1,701",1,1,MS-3790 2.0000 AC.,Attached Garage,594,Attached,1,"87,120",,,HAMILTON TWP,2,SGL FAM DWG 0-9.99 AC,2022,LITTLE MIAMI LSD,Full,,,,,,,,,,,,,,,Finished,,,,,,
"603 Three Chimneys Ln, Loveland, OH 45140",4.0,3.0,2440.0,0.3719926538108356,13.091904169919621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4108 Ironledge Ct, Loveland, OH 45140",4.0,4.0,2104.0,0.481,12.929991484756872,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,OBANNON CREEK,"2,104","2,260",2,,OBANNON CREEK BLOCK D LOT 103,Frame Garage,400,Frame,1,"20,952",103,,GOSHEN TWP,0.481,SINGLE FAMILY,2022,,Full,,8,Colonial,866,D,,,,,156,1,Central,Public,Public,,,,,,,
"3024 Abby Way, Loveland, OH 45140",3.0,3.0,1426.0,0.11000000000000001,12.437184366493561,2,8,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,CAMERON CROSSING SEC 3,"1,426","1,426",2,,CAMERON CROSSING SECTION 3 LOT 162,Frame Garage,400,Frame,1,"4,792",162,,GOSHEN TWP,0.11,SINGLE FAMILY,2022,,,,6,Conventional,416,,,,,,,,Central,Public,Public,,,,,,,
"6243 Seattle Rule Ct, Loveland, OH 45140",4.0,2.5,2170.0,0.3859963269054178,12.823957341589573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3232 Scenic Ct, Loveland, OH 45140",4.0,2.5,2962.0,0.5231864095500459,13.270783382522602,2,10,Forced Air,1,1 Opening,Very Good,Concrete,Frame/Masonry,,Single Family,COLUMBIA WOODS,"3,755","4,115",2,2,COLUMBIA WOODS LOT# 5,Attached Garage,"1,110",Attached,1,"22,791",5,LOVELAND CITY,DEERFIELD TWP,0.5232,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,,,,,793,1,,,,Finished,Building,,,,,
"2238 Cosmos Dr, Loveland, OH 45140",2.0,1.0,1214.0,0.2799999999999999,12.175613438045465,1,5,Forced Air,,,Good,Concrete Block,Frame,Aluminum/Vinyl,Single Family,LOVELAND PARK,"1,214","1,214",1,1,LOVELAND PARK #5256-5261,Detached Garage,576,Detached,1,"12,003",5256,LOVELAND CITY,DEERFIELD TWP,0.28,SINGLE FAMILY DWELLING,2022,KINGS LSD,,,,,,,,,,,,,,,,,,,,,,
"3456 Shadow Ridge Dr, Loveland, OH 45140",4.0,2.5,2312.0,0.3214876033057851,12.873902018105829,2,10,Forced Air,1,1 Opening,Very Good,Concrete,Frame/Masonry,,Single Family,YORKSHIRE 2,"2,312","2,732",2,2,YORKSHIRE 2 LOT# 46,Attached Garage,420,Attached,1,"14,005",46,LOVELAND CITY,DEERFIELD TWP,0.3215,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,,,,,,1,,,,Finished,,,,,,
"12070 Stone Point Ct, Loveland, OH 45140",4.0,6.0,3252.0,0.508,13.296316684527767,3,,,1,,Good,,Brick/Frame,Frame/Masonry,,STONEBRIDGE FARMS SUB,"3,252","5,808",2,2,STONE POINT CT 93.97 X 195.97 IR LOT 51 STONEBRIDGE FARMS SUB PT 2 BLK E,Attached Brick Garage,882,Attached Brick,1,"22,128",51,,SYMMES TOWNSHIP,0.508,SINGLE FAMILY,2022,,Full,Gas,9,Conventional,"1,674",E,195.97,93.97,RESID-SINGLE FAMILY,Connected,"1,674",1,Central,,,,,,A,,,
"6617 Carriage Hill Ln, Loveland, OH 45140",3.0,2.0,1844.0,0.324,12.971540487669746,2,8,Central,1,Wood Stove,Average,,,Brick,Residential,OASIS GOLF CLUB COMMUNITY 03,"1,844","1,844",1,,OASIS GOLF CLUB COMM 3 LOT 31,Masonry/Brick Garage,440,Masonry/Brick,1,"14,113",31,,MIAMI TWP,0.324,SINGLE FAMILY,2022,,Full,,6,Ranch,"1,828",,,,,,,,Central,Public,Public,,,,,,,
"6058 Chamblee Dr, Loveland, OH 45140",3.0,3.0,1734.0,0.21599999999999997,12.721885810807203,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,ASHTON WOODS SEC 1,"1,734","1,734",2,,ASHTON WOODS SECTION 1 BLOCK B LOT 33,Frame Garage,436,Frame,1,"9,409",33,,MIAMI TWP,0.216,SINGLE FAMILY,2022,,Full,,9,Conventional,704,B,,,,,,1,Central,Public,Public,,,,,,,
"616 Shadowlawn Ln, Loveland, OH 45140",4.0,4.0,2647.0,0.488,12.983101310070822,2,10,Central,1,Prefab,Average,,,Frame/Masonry,Residential,BELLE MEADE SEC 1,"2,647","2,702",2,,BELLE MEADE 1-B LOT 15,Masonry/Brick Garage,420,Masonry/Brick,1,"21,257",15,,MIAMI TWP,0.488,SINGLE FAMILY,2022,,Full,Gas,8,Colonial,"1,010",B,,,,Available,555,1,Central,Public,Public,Finished,,,,,,
"9142 Columbia Rd, Loveland, OH 45140",4.0,3.0,1934.0,2.3397842056932965,12.542544882151386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1289 Sandwood Dr, Loveland, OH 45140",3.0,2.0,1652.0,0.5899908172635445,12.506177237980511,1,7,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,OBANNON CREEK,"1,652","1,932",2,,O BANNON CREEK A LOT 56,Frame Garage,400,Frame,1,"25,700",56,,GOSHEN TWP,0.59,SINGLE FAMILY,2022,,Full,Gas,6,Colonial,650,,,,,Available,280,1,Central,Public,Public,,,,,,,
"794 Andrea Dr, Loveland, OH 45140",3.0,4.0,2801.0,0.294,12.969212197910155,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,MUELLER MEADOWS SEC 6,"2,801","3,809",2,,MUELLER MEADOW SECTION VI LOT 124,Frame Garage,420,Frame,1,"12,807",124,,MIAMI TWP,0.294,SINGLE FAMILY,2022,,Full,,6,Colonial,754,,,,,,"1,008",1,Central,Public,Public,,,,,,,
"9800 Farmstead Dr, Loveland, OH 45140",6.0,5.0,5189.0,0.5459999999999999,13.610943392223,4,,,1,,Average,,,Frame/Masonry,,STONEBRIDGE FARMS SUB,"5,189","7,455",2,,FARMSTEAD DR-STONE POINT CT 125.76 X 159.13 IR LOT46 STONEBRIDGE FARMS SUB PT 2 BLK E,Attached Brick Garage,712,Attached Brick,1,"23,784",46,,SYMMES TOWNSHIP,0.546,SINGLE FAMILY,2022,,Full,Gas,10,Conventional,"2,954",E,159.13,125.76,RESID-SINGLE FAMILY,Connected,"2,954",1,Central,,,Finished,,,A,,,
"1516 W Meadowbrook Dr, Loveland, OH 45140",4.0,2.0,1436.0,0.62,12.400816722322686,1,7,Central,,,Average,,,Aluminum/Vinyl,Residential,OAK KNOLL ESTATES II SEC 3,"1,436","1,702",1,,OAK KNOLL ESTATES NO 2 LOT 169,Frame Garage,380,Frame,1,"27,007",169,,GOSHEN TWP,0.62,SINGLE FAMILY,2022,,Full,Gas,7,Ranch,"1,170",,,,,Available,266,1,Central,Public,Public,,,,,,,
"6053 Chamblee Dr, Loveland, OH 45140",4.0,3.0,2492.0,0.22000000000000003,12.922692182275261,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,ASHTON WOODS SEC 1,"2,492","2,604",2,,ASHTON WOODS SECTION 1 BLOCK B LOT 41,Frame Garage,504,Frame,1,"9,583",41,,MIAMI TWP,0.22,SINGLE FAMILY,2022,,Full,,7,Colonial,"1,064",B,,,,,112,1,Central,Public,Public,,,,,,,
"2188 Hibiscus Dr, Loveland, OH 45140",3.0,1.5,1000.0,0.4466023875114784,12.100712129872347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9368 Nolin Orchard Ln, Loveland, OH 45140",4.0,4.0,2004.0,0.3053,13.617059619240436,2,15,Forced Air,1,1 Opening,Good,Concrete,Frame/Masonry,,Single Family,LEGACY ELLIOTT FRM4A,"3,969","4,731",,,,Attached Garage,762,Attached,1,"13,299",197,,DEERFIELD TWP,0.3053,SINGLE FAMILY DWELLING,2022,,Full,,,,,A,,,,,783,2,,,,Finished,Building,,,,,
"219 S 2nd St, Loveland, OH 45140",3.0,3.0,2215.0,0.05,13.394897293683812,2,10,Central,,,Average,,,,Residential,LOVELAND CITY,"1,800","1,800",2,,LOVELAND CITY LAND,Frame Garage,400,Frame,1,"2,831",,,LOVELAND CITY,0.065,SINGLE FAMILY,2022,,Full,Gas,8,,440,,153,80,,Available,,1,Central,Public,Public,,,,,,,
"2330 Rose Rd, Loveland, OH 45140",3.0,2.0,946.0,0.139,12.577636201962656,2,8,Heat Pump,,,Good,Concrete,Brick,,Single Family,LOVELAND PARK,946,946,,Bi-Level,LOVELAND PARK #5616-5618,,,,1,"6,069",5616,LOVELAND CITY,DEERFIELD TWP,0.14,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,Bi-Level,,,,,,,,,,,,Finished,,,,,,
"6343 Trailridge Ct, Loveland, OH 45140",4.0,5.0,4436.0,0.459,13.45166712454693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6167 Woodville Dr, Loveland, OH 45140",4.0,3.0,1780.0,0.247,12.628067055589549,2,10,Central,,,Average,,,Aluminum/Vinyl,Residential,WOODLANDS RESERVE SEC 1,"1,680","1,680",2,,WOODLANDS RESERVE SECTION 1 BLOCK B LOT 24,Frame Garage,400,Frame,1,"10,785",24,,GOSHEN TWP,0.2476,SINGLE FAMILY,2022,,Full,,8,Colonial,640,B,,,,,,1,Central,Public,Public,,,,,,,
"1542 E Meadowbrook Dr, Loveland, OH 45140",3.0,2.0,1440.0,0.376,11.96635499959491,2,8,Central,,,Average,,,Aluminum/Vinyl,Residential,OAK KNOLL ESTATES II SEC 2,"1,440","1,440",1,,OAK KNOLL ESTATES NO 2 LOT 64,Detached Frame Garage,768,Detached Frame,1,"16,379",64,,GOSHEN TWP,0.376,SINGLE FAMILY,2022,,Full,Gas,7,Bi-Level,960,,,,,Available,480,,Central,Public,Public,Finished,,,,,,
"1508 Quarter Horse Cir, Loveland, OH 45140",3.0,2.5,2086.0,0.055991735537190085,12.406970587897064,2,10,Central,,,Average,,,Frame,Residential,VILLAGES OF BELMONT SEC 1A PH 1,"2,626","2,626",2,,VILLAGES OF BELMONT SECTION 1A PHASE 1 (REPLAT) LOT 4405 SEE 112203A291T FOR TIF,Frame Garage,480,Frame,1,"2,439",4405,,GOSHEN TWP,0.056,RESID MFG HOME LIKE REAL PLAT,2022,,Full,,7,Condominium,552,,,,,,552,1,Central,,,Finished,,,,,,
"877 Augusta Blvd, Loveland, OH 45140",4.0,4.0,3174.0,0.22999999999999998,13.198861348377054,3,13,Central,1,Prefab,Average,,,Frame/Masonry,Residential,RESERVE OASIS,"3,174","3,398",1,,THE RESERVE AT THE OASIS LOT 11,Masonry/Brick Garage,484,Masonry/Brick,1,"10,019",11,,MIAMI TWP,0.23,SINGLE FAMILY,2022,,Full,,7,Modern,"2,180",,,,,,974,1,Central,Public,Public,Finished,,,,,,
"2657 Virgie Ct, Loveland, OH 45140",3.0,3.0,3651.0,0.16040000000000001,13.444446876573442,3,12,Forced Air,,,Average,Concrete,Frame,Aluminum/Vinyl,Single Family,LEGACY ELLIOTT FRM1A,"3,651","4,071",,,,Attached Garage,420,Attached,1,"6,987",11,,DEERFIELD TWP,0.1604,SINGLE FAMILY DWELLING,2022,,Full,,,,,A,,,,,"1,518",,,,,Finished,Building,,,,,
"1157 Wood Gate Way, Loveland, OH 45140",3.0,2.5,2004.0,0.2359963269054178,13.083622549087899,3,12,Central,1,Prefab,Average,,,,Residential,WILLOW BROOK FARMS SEC 2,"3,350","3,350",2,,WILLOW BROOK FARMS SECTION 2 LOT 130,Frame Garage,420,Frame,1,"10,280",130,,MIAMI TWP,0.236,SINGLE FAMILY,2022,,Full,Wood,8,,"1,050",,,,,,950,1,Central,,,Finished,,,,,,
"453 Carson Way, Loveland, OH 45140",3.0,2.5,2004.0,0.3649908172635445,13.297327937744715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9076 Lawnview Ct, Loveland, OH 45140",4.0,3.0,2004.0,0.353,13.432051530118724,,,,,,,,,,,BROOKWOOD SUB,,,,,,,,,,"15,377",12,,DEERFIELD TWP,0.353,RES VAC LAND 0-9.99 AC,2022,,,,,,,,,,,,,,,,,,,,,,,
"9997 Morganstrace Dr, Loveland, OH 45140",4.0,3.0,2472.0,0.943,13.087771932634709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"State Route 28, Loveland, OH 45140",3.0,1.0,1564.0,0.5639807162534435,13.430472881921132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1837 Lemontree Ln, Loveland, OH 45140",3.0,2.0,1765.0,0.243,12.727541429394645,2,,,1,,Average,Concrete Block,Brick,Brick,,GLEN LAKE COMMUNITY SUB,"1,765","3,170",1,1,LEMON TREE 40.64 X 118.33IRR LOT 96 GLEN LAKE COMMUNITY SUB BLK C,Attached Brick Garage,504,Attached Brick,1,"10,585",96,,LOVELAND CITY,0.243,SINGLE FAMILY,2022,,Partial,Gas,7,Conventional,"1,765",C,118.33,40.64,RESID-SINGLE FAMILY,Connected,901,,Central,,,,,2,,,,
"9210 Georgetown Cir, Loveland, OH 45140",3.0,3.0,2058.0,0.2764,12.863592648446968,3,11,Forced Air,,,Very Good,Concrete,Frame,Aluminum/Vinyl,Single Family,VILLHERITAGE GRNE,"2,058","2,458",1,1,VILL.HERITAGE GRN.E #183,Attached Garage,400,Attached,1,"12,040",183,LOVELAND CITY,DEERFIELD TWP,0.2764,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,,,,,650,,,,,Finished,,,,,,
"1157 Wood Gate Way, Loveland, OH 45140",4.0,4.0,2004.0,0.23999081726354454,13.083622549087899,3,12,Central,1,Prefab,Average,,,,Residential,WILLOW BROOK FARMS SEC 2,"3,350","3,350",2,,WILLOW BROOK FARMS SECTION 2 LOT 130,Frame Garage,420,Frame,1,"10,280",130,,MIAMI TWP,0.236,SINGLE FAMILY,2022,,Full,Wood,8,,"1,050",,,,,,950,1,Central,,,Finished,,,,,,
